Relatório de campanha
1 de março de 2026 - 31 de março de 2026
Semana,Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Status,Motivos do status,Pontuação de otimização,Tipo de campanha,Código da moeda,Custo,Custo médio,Conversões,Custo / conv.,Impr.,Interações,CPM médio,Taxa de interação,Cliques,CPC méd.,Tipo de estratégia de lances,Taxa de conv.
2026-03-16,Ativada,[PMAX]_bongo,"10,00", --,Diário,Qualificado,desconhecido,"100,00",Performance Max,BRL,"91,00","0,10","56,01","1,62",58.602,919,"1,55","1,57%",866,"0,11",Maximizar as conversões,"6,09%"
2026-03-23,Ativada,[PMAX]_bongo,"10,00", --,Diário,Qualificado,desconhecido,"100,00",Performance Max,BRL,"69,97","0,13","41,08","1,70",27.062,532,"2,59","1,97%",464,"0,15",Maximizar as conversões,"7,72%"
2026-03-30,Ativada,[PMAX]_bongo,"10,00", --,Diário,Qualificado,desconhecido,"100,00",Performance Max,BRL,"19,97","0,11","15,52","1,29",6.590,177,"3,03","2,69%",142,"0,14",Maximizar as conversões,"8,77%"
2026-02-23,Ativada,[Pesquisa]_sportage,"10,00", --,Diário,Qualificado (limitado),desconhecido; limitado pelo orçamento,"99,90",Pesquisa,BRL,"9,07","0,43","0,00","0,00",815,21,"11,13","2,58%",21,"0,43",Maximizar as conversões,"0,00%"
2026-03-02,Ativada,[Pesquisa]_sportage,"10,00", --,Diário,Qualificado (limitado),desconhecido; limitado pelo orçamento,"99,90",Pesquisa,BRL,"61,29","0,39","17,02","3,60",3.063,159,"20,01","5,19%",159,"0,39",Maximizar as conversões,"10,70%"
2026-03-09,Ativada,[Pesquisa]_sportage,"10,00", --,Diário,Qualificado (limitado),desconhecido; limitado pelo orçamento,"99,90",Pesquisa,BRL,"58,94","0,56","15,00","3,93",1.830,105,"32,21","5,74%",105,"0,56",Maximizar as conversões,"14,29%"
2026-03-16,Ativada,[Pesquisa]_sportage,"10,00", --,Diário,Qualificado (limitado),desconhecido; limitado pelo orçamento,"99,90",Pesquisa,BRL,"41,07","0,55","7,01","5,86",1.522,75,"26,99","4,93%",75,"0,55",Maximizar as conversões,"9,35%"
2026-03-23,Ativada,[Pesquisa]_sportage,"10,00", --,Diário,Qualificado (limitado),desconhecido; limitado pelo orçamento,"99,90",Pesquisa,BRL,"81,25","0,54","20,08","4,05",3.173,150,"25,61","4,73%",150,"0,54",Maximizar as conversões,"13,39%"
2026-03-30,Ativada,[Pesquisa]_sportage,"10,00", --,Diário,Qualificado (limitado),desconhecido; limitado pelo orçamento,"99,90",Pesquisa,BRL,"14,46","0,41","4,00","3,62",443,35,"32,64","7,90%",35,"0,41",Maximizar as conversões,"11,43%"
2026-02-23,Ativada,[Pesquisa]_bongo,"10,00", --,Diário,Qualificado (limitado),desconhecido; limitado pelo orçamento,"100,00",Pesquisa,BRL,"8,59","0,33","2,00","4,29",752,26,"11,42","3,46%",26,"0,33",Maximizar as conversões,"7,69%"
2026-03-02,Ativada,[Pesquisa]_bongo,"10,00", --,Diário,Qualificado (limitado),desconhecido; limitado pelo orçamento,"100,00",Pesquisa,BRL,"87,16","0,71","5,01","17,41",4.276,122,"20,38","2,85%",122,"0,71",Maximizar as conversões,"4,10%"
2026-03-09,Ativada,[Pesquisa]_bongo,"10,00", --,Diário,Qualificado (limitado),desconhecido; limitado pelo orçamento,"100,00",Pesquisa,BRL,"136,88","1,37","7,00","19,55",4.672,100,"29,30","2,14%",100,"1,37",Maximizar as conversões,"7,00%"
2026-03-16,Ativada,[Pesquisa]_bongo,"10,00", --,Diário,Qualificado (limitado),desconhecido; limitado pelo orçamento,"100,00",Pesquisa,BRL,"64,94","0,71","3,00","21,65",2.542,91,"25,55","3,58%",91,"0,71",Maximizar as conversões,"3,30%"
2026-03-23,Ativada,[Pesquisa]_bongo,"10,00", --,Diário,Qualificado (limitado),desconhecido; limitado pelo orçamento,"100,00",Pesquisa,BRL,"70,82","0,74","3,00","23,61",2.544,96,"27,84","3,77%",96,"0,74",Maximizar as conversões,"3,13%"
2026-03-30,Ativada,[Pesquisa]_bongo,"10,00", --,Diário,Qualificado (limitado),desconhecido; limitado pelo orçamento,"100,00",Pesquisa,BRL,"12,50","0,52","0,00","0,00",915,24,"13,67","2,62%",24,"0,52",Maximizar as conversões,"0,00%"
2026-02-23,Ativada,[Pesquisa]_site,"10,00", --,Diário,Qualificado,desconhecido,"100,00",Pesquisa,BRL,"9,84","0,16","8,00","1,23",393,63,"25,04","16,03%",63,"0,16",Maximizar as conversões,"12,70%"
2026-03-02,Ativada,[Pesquisa]_site,"10,00", --,Diário,Qualificado,desconhecido,"100,00",Pesquisa,BRL,"70,08","0,25","43,70","1,60",1.905,285,"36,79","14,96%",285,"0,25",Maximizar as conversões,"15,33%"
2026-03-09,Ativada,[Pesquisa]_site,"10,00", --,Diário,Qualificado,desconhecido,"100,00",Pesquisa,BRL,"66,92","0,25","60,00","1,12",1.814,264,"36,89","14,55%",264,"0,25",Maximizar as conversões,"22,73%"
2026-03-16,Ativada,[Pesquisa]_site,"10,00", --,Diário,Qualificado,desconhecido,"100,00",Pesquisa,BRL,"67,52","0,24","45,00","1,50",2.266,278,"29,80","12,27%",278,"0,24",Maximizar as conversões,"16,19%"
2026-03-23,Ativada,[Pesquisa]_site,"10,00", --,Diário,Qualificado,desconhecido,"100,00",Pesquisa,BRL,"64,08","0,20","66,80","0,96",1.588,323,"40,35","20,34%",323,"0,20",Maximizar as conversões,"20,68%"
2026-03-30,Ativada,[Pesquisa]_site,"10,00", --,Diário,Qualificado,desconhecido,"100,00",Pesquisa,BRL,"17,27","0,20","14,00","1,23",492,88,"35,10","17,89%",88,"0,20",Maximizar as conversões,"15,91%"
 --,Total: Campanhas filtradas, --, --, --, --, --,, --, --,BRL,"2266,72","0,17","1.075,95","2,11",280.377,13.499,"8,08","4,81%",10.312,"0,22", --,"7,97%"
 --,Total: Campanhas filtradas, --, --, --, --, --,, --, --,BRL,0,0,0,0,0,0,0, --,0,0, --, --
 --,Total: Campanhas filtradas, --, --, --, --, --,, --, --, --,0,0,0,0,0,0,0, --,0,0, --, --
2026-02-23,Total: Campanhas filtradas, --, --, --, --, --,, --, --, --,0,0,0,0,0,0,0, --,0,0, --, --
2026-03-02,Total: Campanhas filtradas, --, --, --, --, --,, --, --, --,0,0,0,0,0,0,0, --,0,0, --, --
2026-03-09,Total: Campanhas filtradas, --, --, --, --, --,, --, --, --,0,0,0,0,0,0,0, --,0,0, --, --
2026-03-16,Total: Campanhas filtradas, --, --, --, --, --,, --, --, --,0,0,0,0,0,0,0, --,0,0, --, --
2026-03-23,Total: Campanhas filtradas, --, --, --, --, --,, --, --, --,0,0,0,0,0,0,0, --,0,0, --, --
2026-03-30,Total: Campanhas filtradas, --, --, --, --, --,, --, --, --,0,0,0,0,0,0,0, --,0,0, --, --
 --,Total: Campanhas filtradas, --, --, --, --, --,, --, --, --,0,0,0,0,0,0,0, --,0,0, --, --
2026-02-23,Total: Campanhas filtradas, --, --, --, --, --,, --, --,BRL,"85,67","0,12","29,50","2,90",12.050,691,"7,11","5,73%",477,"0,18", --,"4,27%"
2026-03-02,Total: Campanhas filtradas, --, --, --, --, --,, --, --,BRL,"421,43","0,16","182,74","2,31",48.911,2.706,"8,62","5,53%",2.028,"0,21", --,"6,75%"
2026-03-09,Total: Campanhas filtradas, --, --, --, --, --,, --, --,BRL,"596,10","0,18","265,66","2,24",69.806,3.304,"8,54","4,73%",2.443,"0,24", --,"8,04%"
2026-03-16,Total: Campanhas filtradas, --, --, --, --, --,, --, --,BRL,"544,80","0,17","262,34","2,08",86.724,3.297,"6,28","3,80%",2.662,"0,20", --,"7,96%"
2026-03-23,Total: Campanhas filtradas, --, --, --, --, --,, --, --,BRL,"497,90","0,18","254,74","1,95",49.779,2.723,"10,00","5,47%",2.088,"0,24", --,"9,36%"
2026-03-30,Total: Campanhas filtradas, --, --, --, --, --,, --, --,BRL,"120,83","0,16","80,97","1,49",13.107,778,"9,22","5,94%",614,"0,20", --,"10,41%"
,Total: Conta,,,,,,,,,BRL,"2266,72","0,17","1.075,95","2,11",280.377,13.499,"8,08","4,81%",10.312,"0,22",,"7,97%"
2026-03-30,Total: Conta,,,,,,,,,BRL,"120,83","0,16","80,97","1,49",13.107,778,"9,22","5,94%",614,"0,20",,"10,41%"
2026-02-23,Total: Conta,,,,,,,,,BRL,"85,67","0,12","29,50","2,90",12.050,691,"7,11","5,73%",477,"0,18",,"4,27%"
2026-03-09,Total: Conta,,,,,,,,,BRL,"596,10","0,18","265,66","2,24",69.806,3.304,"8,54","4,73%",2.443,"0,24",,"8,04%"
2026-03-02,Total: Conta,,,,,,,,,BRL,"421,43","0,16","182,74","2,31",48.911,2.706,"8,62","5,53%",2.028,"0,21",,"6,75%"
2026-03-16,Total: Conta,,,,,,,,,BRL,"544,80","0,17","262,34","2,08",86.724,3.297,"6,28","3,80%",2.662,"0,20",,"7,96%"
2026-03-23,Total: Conta,,,,,,,,,BRL,"497,90","0,18","254,74","1,95",49.779,2.723,"10,00","5,47%",2.088,"0,24",,"9,36%"
,Total: Inteligente,,,,,,,,Inteligente,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0,,"0,00%"
,Total: Pesquisa,,,,,,,,Pesquisa,BRL,"942,68","0,41","320,61","2,94",35.005,2.305,"26,93","6,58%",2.305,"0,41",,"13,91%"
,Total: Vídeo,,,,,,,,Vídeo,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0,,"0,00%"
,Total: Performance Max,,,,,,,,Performance Max,BRL,"1324,04","0,12","755,34","1,75",245.372,11.194,"5,40","4,56%",8.007,"0,17",,"6,75%"
,Total: Compras,,,,,,,,Compras,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0,,"0,00%"
2026-03-16,Total: Pesquisa,,,,,,,,Pesquisa,BRL,"173,53","0,39","55,01","3,15",6.330,444,"27,41","7,01%",444,"0,39",,"12,39%"
2026-03-02,Total: Vídeo,,,,,,,,Vídeo,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0,,"0,00%"
2026-03-23,Total: Inteligente,,,,,,,,Inteligente,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0,,"0,00%"
2026-03-02,Total: Inteligente,,,,,,,,Inteligente,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0,,"0,00%"
2026-03-09,Total: Compras,,,,,,,,Compras,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0,,"0,00%"
2026-03-30,Total: Pesquisa,,,,,,,,Pesquisa,BRL,"44,23","0,30","18,00","2,46",1.850,147,"23,91","7,95%",147,"0,30",,"12,24%"
2026-02-23,Total: Pesquisa,,,,,,,,Pesquisa,BRL,"27,50","0,25","10,00","2,75",1.960,110,"14,03","5,61%",110,"0,25",,"9,09%"
2026-03-23,Total: Performance Max,,,,,,,,Performance Max,BRL,"281,75","0,13","164,86","1,71",42.474,2.154,"6,63","5,07%",1.519,"0,19",,"7,65%"
2026-03-23,Total: Vídeo,,,,,,,,Vídeo,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0,,"0,00%"
2026-03-02,Total: Performance Max,,,,,,,,Performance Max,BRL,"202,90","0,09","117,01","1,73",39.667,2.140,"5,12","5,39%",1.462,"0,14",,"5,47%"
2026-03-30,Total: Compras,,,,,,,,Compras,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0,,"0,00%"
2026-03-16,Total: Compras,,,,,,,,Compras,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0,,"0,00%"
2026-03-30,Total: Vídeo,,,,,,,,Vídeo,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0,,"0,00%"
2026-03-30,Total: Performance Max,,,,,,,,Performance Max,BRL,"76,60","0,12","62,97","1,22",11.257,631,"6,80","5,61%",467,"0,16",,"9,98%"
2026-02-23,Total: Vídeo,,,,,,,,Vídeo,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0,,"0,00%"
2026-03-16,Total: Inteligente,,,,,,,,Inteligente,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0,,"0,00%"
2026-03-30,Total: Inteligente,,,,,,,,Inteligente,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0,,"0,00%"
2026-02-23,Total: Compras,,,,,,,,Compras,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0,,"0,00%"
2026-02-23,Total: Inteligente,,,,,,,,Inteligente,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0,,"0,00%"
2026-03-09,Total: Pesquisa,,,,,,,,Pesquisa,BRL,"262,74","0,56","82,00","3,20",8.316,469,"31,59","5,64%",469,"0,56",,"17,48%"
2026-03-16,Total: Vídeo,,,,,,,,Vídeo,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0,,"0,00%"
2026-03-09,Total: Vídeo,,,,,,,,Vídeo,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0,,"0,00%"
2026-03-23,Total: Compras,,,,,,,,Compras,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0,,"0,00%"
2026-03-02,Total: Compras,,,,,,,,Compras,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0,,"0,00%"
2026-03-16,Total: Performance Max,,,,,,,,Performance Max,BRL,"371,26","0,13","207,33","1,79",80.394,2.853,"4,62","3,55%",2.218,"0,17",,"7,27%"
2026-02-23,Total: Performance Max,,,,,,,,Performance Max,BRL,"58,17","0,10","19,50","2,98",10.090,581,"5,77","5,76%",367,"0,16",,"3,36%"
2026-03-09,Total: Inteligente,,,,,,,,Inteligente,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0,,"0,00%"
2026-03-23,Total: Pesquisa,,,,,,,,Pesquisa,BRL,"216,15","0,38","89,88","2,40",7.305,569,"29,59","7,79%",569,"0,38",,"15,80%"
2026-03-09,Total: Performance Max,,,,,,,,Performance Max,BRL,"333,36","0,12","183,66","1,82",61.490,2.835,"5,42","4,61%",1.974,"0,17",,"6,48%"
2026-03-02,Total: Pesquisa,,,,,,,,Pesquisa,BRL,"218,53","0,39","65,73","3,32",9.244,566,"23,64","6,12%",566,"0,39",,"11,61%"
