Relatório de campanha
1 de janeiro de 2026 - 31 de janeiro de 2026
Semana,Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Código da moeda,Tipo de estratégia de lances,Status,Motivos do status,Tipo de campanha,Custo,Custo médio,Conversões,Custo / conv.,Impr.,Interações,CPM médio,Taxa de interação,Cliques,CPC méd.
2025-12-29,Ativada,[Pesquisa]_dr-160,"7,00", --,Diário,BRL,Maximizar as conversões,Qualificado (limitado),desconhecido; limitado pelo orçamento; desconhecido,Pesquisa,"26,79","0,56","2,00","13,40",850,48,"31,52","5,65%",48,"0,56"
2026-01-05,Ativada,[Pesquisa]_dr-160,"7,00", --,Diário,BRL,Maximizar as conversões,Qualificado (limitado),desconhecido; limitado pelo orçamento; desconhecido,Pesquisa,"47,14","0,65","4,00","11,79",1.119,73,"42,13","6,52%",73,"0,65"
2026-01-12,Ativada,[Pesquisa]_dr-160,"7,00", --,Diário,BRL,Maximizar as conversões,Qualificado (limitado),desconhecido; limitado pelo orçamento; desconhecido,Pesquisa,"51,68","0,65","4,00","12,92",2.298,79,"22,49","3,44%",79,"0,65"
2026-01-19,Ativada,[Pesquisa]_dr-160,"7,00", --,Diário,BRL,Maximizar as conversões,Qualificado (limitado),desconhecido; limitado pelo orçamento; desconhecido,Pesquisa,"46,89","0,39","6,00","7,82",1.935,119,"24,23","6,15%",119,"0,39"
2026-01-26,Ativada,[Pesquisa]_dr-160,"7,00", --,Diário,BRL,Maximizar as conversões,Qualificado (limitado),desconhecido; limitado pelo orçamento; desconhecido,Pesquisa,"12,39","0,44","0,00","0,00",659,28,"18,79","4,25%",28,"0,44"
2025-12-29,Ativada,[Pesquisa]_gsx-8s,"5,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,"17,59","0,42","3,33","5,28",388,42,"45,34","10,82%",42,"0,42"
2026-01-05,Ativada,[Pesquisa]_gsx-8s,"5,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,"34,94","0,52","9,01","3,88",587,67,"59,52","11,41%",67,"0,52"
2026-01-12,Ativada,[Pesquisa]_gsx-8s,"5,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,"32,36","0,60","8,67","3,73",422,54,"76,69","12,80%",54,"0,60"
2026-01-19,Ativada,[Pesquisa]_gsx-8s,"5,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,"38,33","0,46","4,50","8,52",491,83,"78,07","16,90%",83,"0,46"
2026-01-26,Ativada,[Pesquisa]_gsx-8s,"5,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,"7,09","0,64","2,00","3,55",90,11,"78,78","12,22%",11,"0,64"
 --,Total: Campanhas filtradas, --, --, --, --,BRL, --, --,, --,"1941,27","0,23","996,84","1,95",180.694,8.445,"10,74","4,67%",8.433,"0,23"
 --,Total: Campanhas filtradas, --, --, --, --,BRL, --, --,, --,0,0,0,0,0,0,0, --,0,0
 --,Total: Campanhas filtradas, --, --, --, --, --, --, --,, --,0,0,0,0,0,0,0, --,0,0
2025-12-29,Total: Campanhas filtradas, --, --, --, --, --, --, --,, --,0,0,0,0,0,0,0, --,0,0
2026-01-05,Total: Campanhas filtradas, --, --, --, --, --, --, --,, --,0,0,0,0,0,0,0, --,0,0
2026-01-12,Total: Campanhas filtradas, --, --, --, --, --, --, --,, --,0,0,0,0,0,0,0, --,0,0
2026-01-19,Total: Campanhas filtradas, --, --, --, --, --, --, --,, --,0,0,0,0,0,0,0, --,0,0
2026-01-26,Total: Campanhas filtradas, --, --, --, --, --, --, --,, --,0,0,0,0,0,0,0, --,0,0
 --,Total: Campanhas filtradas, --, --, --, --, --, --, --,, --,0,0,0,0,0,0,0, --,0,0
2025-12-29,Total: Campanhas filtradas, --, --, --, --,BRL, --, --,, --,"291,51","0,23","165,34","1,76",27.137,1.281,"10,74","4,72%",1.279,"0,23"
2026-01-05,Total: Campanhas filtradas, --, --, --, --,BRL, --, --,, --,"501,40","0,27","201,03","2,49",41.934,1.887,"11,96","4,50%",1.886,"0,27"
2026-01-12,Total: Campanhas filtradas, --, --, --, --,BRL, --, --,, --,"502,48","0,25","261,80","1,92",38.779,2.049,"12,96","5,28%",2.047,"0,25"
2026-01-19,Total: Campanhas filtradas, --, --, --, --,BRL, --, --,, --,"448,60","0,21","283,36","1,58",39.121,2.142,"11,47","5,48%",2.135,"0,21"
2026-01-26,Total: Campanhas filtradas, --, --, --, --,BRL, --, --,, --,"197,29","0,18","85,31","2,31",33.723,1.086,"5,85","3,22%",1.086,"0,18"
,Total: Conta,,,,,BRL,,,,,"1941,27","0,23","996,84","1,95",180.694,8.445,"10,74","4,67%",8.433,"0,23"
2025-12-29,Total: Conta,,,,,BRL,,,,,"291,51","0,23","165,34","1,76",27.137,1.281,"10,74","4,72%",1.279,"0,23"
2026-01-19,Total: Conta,,,,,BRL,,,,,"448,60","0,21","283,36","1,58",39.121,2.142,"11,47","5,48%",2.135,"0,21"
2026-01-26,Total: Conta,,,,,BRL,,,,,"197,29","0,18","85,31","2,31",33.723,1.086,"5,85","3,22%",1.086,"0,18"
2026-01-12,Total: Conta,,,,,BRL,,,,,"502,48","0,25","261,80","1,92",38.779,2.049,"12,96","5,28%",2.047,"0,25"
2026-01-05,Total: Conta,,,,,BRL,,,,,"501,40","0,27","201,03","2,49",41.934,1.887,"11,96","4,50%",1.886,"0,27"
,Total: Vídeo,,,,,BRL,,,,Vídeo,"0,00",0,"0,00","0,00",0,0,0, --,0,0
,Total: Pesquisa,,,,,BRL,,,,Pesquisa,"795,27","0,54","84,01","9,47",28.241,1.463,"28,16","5,18%",1.463,"0,54"
,Total: Performance Max,,,,,BRL,,,,Performance Max,"1146,00","0,16","912,82","1,26",152.453,6.982,"7,52","4,58%",6.970,"0,16"
2026-01-26,Total: Pesquisa,,,,,BRL,,,,Pesquisa,"46,59","0,36","7,00","6,66",1.779,129,"26,19","7,25%",129,"0,36"
2026-01-19,Total: Performance Max,,,,,BRL,,,,Performance Max,"260,04","0,15","267,86","0,97",32.142,1.765,"8,09","5,49%",1.758,"0,15"
2025-12-29,Total: Vídeo,,,,,BRL,,,,Vídeo,"0,00",0,"0,00","0,00",0,0,0, --,0,0
2026-01-26,Total: Performance Max,,,,,BRL,,,,Performance Max,"150,70","0,16","78,31","1,92",31.944,957,"4,72","3,00%",957,"0,16"
2026-01-12,Total: Performance Max,,,,,BRL,,,,Performance Max,"288,55","0,17","236,63","1,22",30.428,1.683,"9,48","5,53%",1.681,"0,17"
2026-01-05,Total: Performance Max,,,,,BRL,,,,Performance Max,"289,06","0,19","174,02","1,66",35.170,1.536,"8,22","4,37%",1.535,"0,19"
2026-01-19,Total: Vídeo,,,,,BRL,,,,Vídeo,"0,00",0,"0,00","0,00",0,0,0, --,0,0
2026-01-12,Total: Vídeo,,,,,BRL,,,,Vídeo,"0,00",0,"0,00","0,00",0,0,0, --,0,0
2026-01-05,Total: Vídeo,,,,,BRL,,,,Vídeo,"0,00",0,"0,00","0,00",0,0,0, --,0,0
2026-01-19,Total: Pesquisa,,,,,BRL,,,,Pesquisa,"188,56","0,50","15,50","12,16",6.979,377,"27,02","5,40%",377,"0,50"
2025-12-29,Total: Pesquisa,,,,,BRL,,,,Pesquisa,"133,87","0,56","9,33","14,34",4.368,240,"30,65","5,49%",240,"0,56"
2025-12-29,Total: Performance Max,,,,,BRL,,,,Performance Max,"157,64","0,15","156,00","1,01",22.769,1.041,"6,92","4,57%",1.039,"0,15"
2026-01-12,Total: Pesquisa,,,,,BRL,,,,Pesquisa,"213,93","0,58","25,17","8,50",8.351,366,"25,62","4,38%",366,"0,58"
2026-01-05,Total: Pesquisa,,,,,BRL,,,,Pesquisa,"212,34","0,60","27,01","7,86",6.764,351,"31,39","5,19%",351,"0,60"
2026-01-26,Total: Vídeo,,,,,BRL,,,,Vídeo,"0,00",0,"0,00","0,00",0,0,0, --,0,0
